Strefa (AB);Zakres (number);Operator (nazwa);Operator (ID);Strefa (nazwa);Strefa (symbol);Obszar numeracyjny;Data modyfikacji
32;324463;BT Poland Sp. z o.o.;109;KATOWICE;SN-KA;CA£A SN;2021-06-03 12:15
32;324464;Flexcom Sp. z o.o.;11973;KATOWICE;SN-KA;CA£A SN;2022-02-19 12:15
32;324466;Leon Sp. z o.o.;1471;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324468;Flexcom Sp. z o.o.;11973;KATOWICE;SN-KA;CA£A SN;2022-02-19 12:15
32;32449(0,1-4,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32449(5-8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;3245(1,5-7);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32450(2,3);Naukowa i Akademicka Sieæ Komputerowa - Pañstwowy Instytut Badawczy;59;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324500;STRONG-PC Tomasz Piekarski;1924;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324501;ITH Sp. Z o.o.;12635;KATOWICE;SN-KA;CA£A SN;2020-03-14 12:15
32;324504;Netia S.A.;6;KATOWICE;SN-KA;CA£A SN;2020-06-10 12:15
32;324505;Softblue S.A.;12915;KATOWICE;SN-KA;CA£A SN;2021-01-15 12:15
32;324506;Vectra S.A.;5568;KATOWICE;SN-KA;Racibórz;2015-07-20 12:52
32;324507;FORWEB S.C. Monika Bodetko Tomasz Paw³owski;5731;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324508;MIDIKO Sp. z o.o.;4990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324509;Hyperion S.A.;329;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32452;Polkomtel Sp. z o.o.;3;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32453(0,1,2,7-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32453(3-6);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32454(0,1-7,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324548;STRONG-PC Tomasz Piekarski;1924;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32458(0,9);Vectra S.A.;5568;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324581;Vectra S.A.;5568;KATOWICE;SN-KA;Bytom;2015-07-20 12:52
32;324582;Vectra S.A.;5568;KATOWICE;SN-KA;CzeladŸ;2015-07-20 12:52
32;324583;Vectra S.A.;5568;KATOWICE;SN-KA;Ruda Œl¹ska;2015-07-20 12:52
32;324584;Vectra S.A.;5568;KATOWICE;SN-KA;Rybnik;2015-07-20 12:52
32;324585;Vectra S.A.;5568;KATOWICE;SN-KA;Œwiêtoch³owice;2015-07-20 12:52
32;324586;Vectra S.A.;5568;KATOWICE;SN-KA;Tarnowskie Góry;2015-07-20 12:52
32;324587;Vectra S.A.;5568;KATOWICE;SN-KA;Zabrze;2015-07-20 12:52
32;324588;Vectra S.A.;5568;KATOWICE;SN-KA;¯ory;2015-07-20 12:52
32;32459(0,1-5,7);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32459(6,8,9);P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KATOWICE;SN-KA;CA£A SN;2015-11-24 12:15
32;3246(0,8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;3246(3,4);Netia S.A.;6;KATOWICE;SN-KA;CA£A SN;2020-04-30 12:15
32;3246(5-7);Polkomtel Sp. z o.o.;3;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32461(1-8);Netia S.A.;6;KATOWICE;SN-KA;CA£A SN;2020-04-30 12:15
32;324610;Netia S.A.;6;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324619;P4 Sp. z o.o. (d. UPC Polska Sp. z o.o.);111;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32462(0,1-3);Netia S.A.;6;KATOWICE;SN-KA;CA£A SN;2020-04-30 12:15
32;32462(4-9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32469(0,1-6,8-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324697;Telnyx Ireland Limited;13021;KATOWICE;SN-KA;CA£A SN;2022-03-01 12:15
32;3247(0,1-3);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32474(0,1,3-8);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32474(2,9);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32475(1-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324750;Rezerwa techniczna;99992;KATOWICE;SN-KA;CA£A SN;2023-03-10 12:45
32;32476(0,1-7,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;324768;MIDIKO Sp. z o.o.;4990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32477(0,2-8);Rezerwa Prezesa UKE;99990;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32477(1,9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
32;32478(0,1-5,7-9);Orange Polska S.A.;1;KATOWICE;SN-KA;CA£A SN;2015-07-20 12:52
